,id,site,station,artist,title,timestamp,createdOn
55,78843113,wmmr.com,WMMRFM,Pearl Jam,Dissident,1621372458,2021-05-18T21:15:29.000Z
56,78842840,wmmr.com,WMMRFM,Pearl Jam,Even Flow,1621372154,2021-05-18T21:10:29.000Z
57,78842660,wmmr.com,WMMRFM,Everclear,I Will Buy You A New Life,1621371917,2021-05-18T21:06:29.000Z
58,78842458,wmmr.com,WMMRFM,Everclear,Father Of Mine,1621371692,2021-05-18T21:02:30.000Z
59,78842230,wmmr.com,WMMRFM,Ac/Dc,Dirty Deeds Done Dirt Cheap,1621371438,2021-05-18T20:58:29.000Z
60,78842052,wmmr.com,WMMRFM,Ac/Dc,Realize,1621371225,2021-05-18T20:54:29.000Z
61,78841616,wmmr.com,WMMRFM,Who,Won't Get Fooled Again,1621370706,2021-05-18T20:46:28.000Z
62,78841397,wmmr.com,WMMRFM,Who,Baba O'Riley,1621370401,2021-05-18T20:41:29.000Z
63,78841234,wmmr.com,WMMRFM,Black Sabbath,Paranoid,1621370223,2021-05-18T20:38:30.000Z
64,78840971,wmmr.com,WMMRFM,Ozzy Osbourne,Crazy Train,1621369939,2021-05-18T20:33:29.000Z
65,78840425,wmmr.com,WMMRFM,Lynyrd Skynyrd,I Know A Little,1621369269,2021-05-18T20:22:29.000Z
66,78840183,wmmr.com,WMMRFM,Lynyrd Skynyrd,The Ballad Of Curtis Loew,1621368981,2021-05-18T20:17:29.000Z
67,78839904,wmmr.com,WMMRFM,Aerosmith,Love In An Elevator,1621368644,2021-05-18T20:11:29.000Z
68,78839676,wmmr.com,WMMRFM,Aerosmith,Sweet Emotion,1621368373,2021-05-18T20:07:29.000Z
69,78839334,wmmr.com,WMMRFM,Tool,The Pot,1621367990,2021-05-18T20:00:29.000Z
70,78839031,wmmr.com,WMMRFM,Tool,Schism,1621367589,2021-05-18T19:54:29.000Z
71,78838439,wmmr.com,WMMRFM,Collective Soul,Shine,1621366865,2021-05-18T19:42:30.000Z
72,78838186,wmmr.com,WMMRFM,Collective Soul,The World I Know,1621366611,2021-05-18T19:37:29.000Z
73,78837934,wmmr.com,WMMRFM,Alice In Chains,I Stay Away,1621366297,2021-05-18T19:32:29.000Z
74,78837777,wmmr.com,WMMRFM,Alice In Chains,Would?,1621366093,2021-05-18T19:29:30.000Z
75,78837168,wmmr.com,WMMRFM,Volbeat,Seal The Deal,1621365369,2021-05-18T19:17:28.000Z
76,78837020,wmmr.com,WMMRFM,Volbeat,Die To Live,1621365190,2021-05-18T19:14:30.000Z
77,78836832,wmmr.com,WMMRFM,Queen,Don't Stop Me Now,1621364978,2021-05-18T19:10:31.000Z
78,78836540,wmmr.com,WMMRFM,Queen,Bohemian Rhapsody,1621364631,2021-05-18T19:04:29.000Z
79,78836137,wmmr.com,WMMRFM,Motley Crue,Wild Side,1621364136,2021-05-18T18:56:29.000Z
80,78835992,wmmr.com,WMMRFM,Motley Crue,Shout At The Devil,1621363945,2021-05-18T18:53:30.000Z
81,78835811,wmmr.com,WMMRFM,Motley Crue,Smokin' In The Boys Room,1621363739,2021-05-18T18:49:30.000Z
82,78835540,wmmr.com,WMMRFM,Ghost,Rats,1621363417,2021-05-18T18:44:29.000Z
83,78835367,wmmr.com,WMMRFM,Ghost,Dance Macabre,1621363201,2021-05-18T18:41:29.000Z
84,78835147,wmmr.com,WMMRFM,Black Keys,Crawling Kingsnake,1621362959,2021-05-18T18:36:30.000Z
85,78835002,wmmr.com,WMMRFM,Black Keys,Gold On The Ceiling,1621362733,2021-05-18T18:33:29.000Z
86,78833501,wmmr.com,WMMRFM,Grateful Dead,Touch Of Grey,1621361290,2021-05-18T18:08:36.000Z
87,78832812,wmmr.com,WMMRFM,Grateful Dead,Good Lovin',1621360997,2021-05-18T18:04:07.000Z
88,78830811,wmmr.com,WMMRFM,Weezer,Hash Pipe,1621360193,2021-05-18T17:50:37.000Z
89,78830363,wmmr.com,WMMRFM,Weezer,I Need Some of That,1621360029,2021-05-18T17:47:45.000Z
90,78827968,wmmr.com,WMMRFM,Chris Cornell [+] Soundgarden,Fell On Black Days (MMaRchive Session with Pierre 10.15.15) ,1621359074,2021-05-18T17:32:02.000Z
91,78826547,wmmr.com,WMMRFM,Chris Cornell,Sunshower,1621358521,2021-05-18T17:22:36.000Z
92,78825202,wmmr.com,WMMRFM,Chris Cornell,Nearly Forgot My Broken Heart,1621357968,2021-05-18T17:13:37.000Z
93,78824498,wmmr.com,WMMRFM,Chris Cornell [+] Soundgarden,Like A Stone (Grape Street 4/20/07),1621357691,2021-05-18T17:08:45.000Z
94,78822733,wmmr.com,WMMRFM,Rush,Closer To The Heart,1621356872,2021-05-18T16:55:29.000Z
95,78822183,wmmr.com,WMMRFM,Rush,Xanadu,1621356209,2021-05-18T16:44:29.000Z
96,78821955,wmmr.com,WMMRFM,Rush,Distant Early Warning,1621355894,2021-05-18T16:39:29.000Z
97,78821697,wmmr.com,WMMRFM,Rush,The Spirit Of Radio,1621355597,2021-05-18T16:34:29.000Z
98,78820817,wmmr.com,WMMRFM,Green Day,American Idiot,1621354558,2021-05-18T16:17:28.000Z
99,78820675,wmmr.com,WMMRFM,Green Day,I Fought The Law,1621354403,2021-05-18T16:14:29.000Z
100,78820545,wmmr.com,WMMRFM,Green Day,Dreaming,1621354229,2021-05-18T16:11:29.000Z
101,78820441,wmmr.com,WMMRFM,Green Day,Burnout,1621354097,2021-05-18T16:09:29.000Z
102,78820246,wmmr.com,WMMRFM,Green Day,Holiday,1621353864,2021-05-18T16:05:29.000Z
103,78819629,wmmr.com,WMMRFM,Foo Fighters,Big Me,1621353150,2021-05-18T15:53:29.000Z
104,78819458,wmmr.com,WMMRFM,Foo Fighters,Waiting On A War,1621352882,2021-05-18T15:49:30.000Z
105,78818850,wmmr.com,WMMRFM,Rolling Stones,Brown Sugar,1621352207,2021-05-18T15:37:29.000Z
106,78817919,wmmr.com,WMMRFM,Cheap Trick,Dream Police,1621351130,2021-05-18T15:19:28.000Z
107,78817835,wmmr.com,WMMRFM,Cheap Trick,Light Up The Fire,1621350959,2021-05-18T15:17:29.000Z
108,78817567,wmmr.com,WMMRFM,Bon Jovi,Lost Highway,1621350697,2021-05-18T15:12:29.000Z
109,78817434,wmmr.com,WMMRFM,Bon Jovi,Have A Nice Day,1621350479,2021-05-18T15:09:30.000Z
110,78816980,wmmr.com,WMMRFM,Linkin Park,In The End,1621349958,2021-05-18T15:00:29.000Z
